"X_id","RSN","YEAR_REGISTERED","YEAR_EVALUATED","YEAR_BUILT","PROPERTY_TYPE","WARD","WARDNAME","SITE_ADDRESS","CONFIRMED_STOREYS","CONFIRMED_UNITS","EVALUATION_COMPLETED_ON","SCORE","RESULTS_OF_SCORE","NO_OF_AREAS_EVALUATED","ENTRANCE_LOBBY","ENTRANCE_DOORS_WINDOWS","SECURITY","STAIRWELLS","LAUNDRY_ROOMS","INTERNAL_GUARDS_HANDRAILS","GARBAGE_CHUTE_ROOMS","GARBAGE_BIN_STORAGE_AREA","ELEVATORS","STORAGE_AREAS_LOCKERS","INTERIOR_WALL_CEILING_FLOOR","INTERIOR_LIGHTING_LEVELS","GRAFFITI","EXTERIOR_CLADDING","EXTERIOR_GROUNDS","EXTERIOR_WALKWAYS","BALCONY_GUARDS","WATER_PEN_EXT_BLDG_ELEMENTS","PARKING_AREA","OTHER_FACILITIES","GRID","LATITUDE","LONGITUDE","X","Y"
2968424,5156053,2023,NA,2018,"PRIVATE",12,"Toronto-St. Paul's","109 VAUGHAN RD",9,51,"2023-01-19",96,"Evaluation needs to be conducted in 3 years",19,5,5,5,5,NA,5,5,5,5,5,5,5,1,5,5,5,5,5,5,5,"S1229",43.6841957137,-79.4209646641,311156.469,4838029.782
2968425,5199841,NA,NA,2021,"PRIVATE",3,"Etobicoke-Lakeshore","5249 DUNDAS ST W",42,333,"2023-01-19",99,"Evaluation needs to be conducted in 3 years",19,5,5,5,5,NA,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,"W0323",NA,NA,301782.82,4832967.103
2968426,5156165,2022,NA,1960,"PRIVATE",20,"Scarborough Southwest","568 BIRCHMOUNT RD",7,61,"2023-01-18",83,"Evaluation needs to be conducted in 2 years",19,5,3,5,5,5,3,5,5,5,3,3,3,5,3,5,5,5,3,3,NA,"E2029",43.7127945342,-79.2713034993,323213.731,4841229.257
2968427,5144479,2022,NA,2020,"PRIVATE",4,"Parkdale-High Park","55 QUEBEC AVE",25,264,"2023-01-18",98,"Evaluation needs to be conducted in 3 years",19,5,5,5,3,NA,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,"S0428",NA,NA,307442.641,4834735.62
2968428,5144485,2022,NA,2021,"PRIVATE",4,"Parkdale-High Park","50 HIGH PARK AVE",25,264,"2023-01-18",98,"Evaluation needs to be conducted in 3 years",19,5,5,5,3,NA,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,"S0428",43.655497932,-79.466564069,307481.141,4834840.141
2968429,4155474,2017,NA,1970,"PRIVATE",3,"Etobicoke-Lakeshore","2377 LAKE SHORE BLVD W",4,23,"2022-12-30",72,"Evaluation needs to be conducted in 2 years",18,4,3,5,4,4,2,NA,3,3,3,3,3,5,3,5,3,4,4,4,NA,"W0336",43.6154404667,-79.4878892475,305761.833,4830388.607
2968430,4154257,2017,NA,1960,"PRIVATE",7,"Humber River-Black Creek","3 DAMASK AVE",3,10,"2022-12-30",83,"Evaluation needs to be conducted in 2 years",15,3,5,5,3,3,5,NA,4,NA,NA,3,5,5,4,5,5,NA,3,4,NA,"W0728",43.7416935323,-79.5396641026,301589.804,4844415.332
2968431,4155480,2017,NA,1954,"PRIVATE",3,"Etobicoke-Lakeshore","2309 LAKE SHORE BLVD W",4,28,"2022-12-30",70,"Evaluation needs to be conducted in 2 years",16,3,3,4,3,3,4,NA,3,NA,2,3,4,5,4,3,4,NA,4,4,NA,"W0336",43.6177159242,-79.4864921975,305843.963,4830639.407
2968432,4155477,2017,NA,1958,"PRIVATE",3,"Etobicoke-Lakeshore","2355 LAKE SHORE BLVD W",4,86,"2022-12-30",69,"Evaluation needs to be conducted in 2 years",17,4,4,4,2,2,2,NA,3,4,NA,3,4,3,3,4,4,5,4,4,NA,"W0336",43.616065741,-79.4876962773,305777.4,4830458.074
2968433,4155476,2017,NA,1960,"PRIVATE",3,"Etobicoke-Lakeshore","2361 LAKE SHORE BLVD W",4,47,"2022-12-30",82,"Evaluation needs to be conducted in 2 years",17,4,5,5,4,3,4,NA,3,5,NA,4,5,3,4,5,4,4,3,5,NA,"W0336",43.6158682454,-79.4878084713,305768.347,4830436.132
2968434,4155475,2017,NA,1959,"PRIVATE",3,"Etobicoke-Lakeshore","2369 LAKE SHORE BLVD W",4,87,"2022-12-30",74,"Evaluation needs to be conducted in 2 years",17,3,3,5,3,4,4,NA,3,5,NA,3,4,4,4,3,3,4,3,5,NA,"W0336",43.615736635,-79.4878821357,305762.403,4830421.51
2968435,4155234,2017,NA,1947,"PRIVATE",3,"Etobicoke-Lakeshore","3 NEWHOLM RD",4,25,"2022-12-30",79,"Evaluation needs to be conducted in 2 years",17,4,5,5,4,4,4,NA,3,NA,4,4,3,5,4,4,4,4,3,3,NA,"W0329",43.6360787547,-79.4876301384,305782.438,4832681.407
2968436,4156565,2017,NA,1968,"PRIVATE",5,"York South-Weston","15 HARDING AVE",19,335,"2022-12-30",74,"Evaluation needs to be conducted in 2 years",20,5,4,5,3,3,3,4,4,4,2,3,5,5,3,3,4,4,4,2,4,"W0528",NA,NA,304655.788,4839682.129
2968437,4156367,2017,NA,1954,"PRIVATE",5,"York South-Weston","4 GREENBROOK DR",3,23,"2022-12-30",79,"Evaluation needs to be conducted in 2 years",15,3,5,5,3,4,3,NA,4,NA,NA,4,3,5,4,4,5,NA,4,3,NA,"W0532",43.697269464,-79.4763543388,306690.437,4839479.496
2968438,4155233,2017,NA,1955,"PRIVATE",3,"Etobicoke-Lakeshore","5 NEWHOLM RD",4,27,"2022-12-30",68,"Evaluation needs to be conducted in 2 years",17,3,3,5,3,4,4,NA,4,NA,3,3,3,4,2,4,3,3,3,4,NA,"W0329",43.6356446898,-79.4874066551,305800.477,4832633.187
2968439,4155488,2017,NA,1955,"PRIVATE",3,"Etobicoke-Lakeshore","2532 LAKE SHORE BLVD W",4,46,"2022-12-30",75,"Evaluation needs to be conducted in 2 years",15,5,4,5,3,3,2,NA,4,NA,NA,3,4,4,5,3,4,NA,4,3,NA,"W0336",43.6109821847,-79.4903809388,305560.767,4829893.29
2968440,4155494,2017,NA,1952,"PRIVATE",3,"Etobicoke-Lakeshore","2547 LAKE SHORE BLVD W",4,26,"2022-12-30",78,"Evaluation needs to be conducted in 2 years",16,4,4,4,4,3,3,NA,4,NA,4,4,5,5,3,5,3,NA,4,3,NA,"W0336",43.609303547,-79.4892009672,305656.036,4829706.813
2968441,4155227,2017,NA,1957,"PRIVATE",3,"Etobicoke-Lakeshore","301 PARK LAWN RD",4,25,"2022-12-30",76,"Evaluation needs to be conducted in 2 years",18,4,4,5,3,4,5,NA,4,3,4,3,3,5,4,3,3,5,3,3,NA,"W0329",43.6350512379,-79.4924601948,305392.658,4832567.215
2968442,4154231,2017,NA,1970,"PRIVATE",7,"Humber River-Black Creek","2940 JANE ST",13,153,"2022-12-30",82,"Evaluation needs to be conducted in 2 years",18,5,4,5,4,5,4,4,3,4,NA,4,3,5,4,4,4,4,4,4,NA,"W0729",43.753728376,-79.5177880102,303352.137,4845751.71
2968443,4154233,2017,NA,1970,"PRIVATE",7,"Humber River-Black Creek","2970 JANE ST",14,164,"2022-12-30",86,"Evaluation needs to be conducted in 3 years",18,5,4,5,4,5,4,4,4,4,NA,4,5,5,4,4,4,4,4,4,NA,"W0729",43.7553825332,-79.5178201808,303349.587,4845935.472
2968444,4155297,2017,NA,1960,"PRIVATE",3,"Etobicoke-Lakeshore","2645 BLOOR ST W",5,42,"2022-12-30",91,"Evaluation needs to be conducted in 3 years",19,5,5,5,5,4,3,4,5,5,4,5,4,5,5,5,5,5,4,3,NA,"W0327",43.648946892,-79.494356545,305239.348,4834111.89
2968445,4155295,2017,NA,1927,"PRIVATE",3,"Etobicoke-Lakeshore","2651 BLOOR ST W",4,34,"2022-12-30",74,"Evaluation needs to be conducted in 2 years",17,3,4,5,3,2,4,NA,4,NA,3,3,4,5,4,3,5,4,4,3,NA,"W0327",43.649230274,-79.495336571,305160.274,4834143.367
2968446,4155294,2017,NA,1940,"PRIVATE",3,"Etobicoke-Lakeshore","2655 BLOOR ST W",5,45,"2022-12-30",79,"Evaluation needs to be conducted in 2 years",17,4,4,5,4,3,2,NA,4,NA,4,3,5,5,4,5,4,4,4,3,NA,"W0327",43.6494614357,-79.495683937,305101.599,4834184.139
2968447,4155235,2017,NA,1958,"PRIVATE",3,"Etobicoke-Lakeshore","169 BERRY RD",4,25,"2022-12-30",81,"Evaluation needs to be conducted in 2 years",17,4,4,5,4,4,4,NA,4,NA,3,5,5,4,3,4,4,5,4,3,NA,"W0329",43.6371235205,-79.4874115114,305800.066,4832797.477
2968448,4156439,2017,NA,1993,"SOCIAL HOUSING",5,"York South-Weston","33 GABIAN WAY",18,248,"2022-12-30",89,"Evaluation needs to be conducted in 3 years",19,5,5,5,4,5,5,4,4,4,5,5,4,5,4,5,5,NA,4,2,5,"W0533",43.6931197205,-79.4688639232,307294.354,4839018.662
2968449,4155473,2017,NA,1959,"SOCIAL HOUSING",3,"Etobicoke-Lakeshore","110 STANLEY AVE",3,16,"2022-12-30",74,"Evaluation needs to be conducted in 2 years",16,3,3,4,3,4,2,NA,5,NA,NA,3,4,5,4,4,4,3,4,4,NA,"W0336",43.6151367665,-79.4949740706,305189.979,4830354.824
2968450,4153885,2017,NA,1955,"PRIVATE",12,"Toronto-St. Paul's","567 AVENUE RD",11,63,"2022-12-30",91,"Evaluation needs to be conducted in 3 years",18,4,5,5,5,4,5,NA,5,5,5,4,5,5,4,4,5,5,4,3,NA,"S1232",43.688402926,-79.401606294,312716.449,4838499.822
2968451,4155481,2017,NA,1957,"PRIVATE",3,"Etobicoke-Lakeshore","2303 LAKE SHORE BLVD W",4,38,"2022-12-30",96,"Evaluation needs to be conducted in 3 years",15,5,4,5,5,5,5,NA,5,NA,NA,5,5,5,5,4,5,NA,4,5,NA,"W0336",43.6181573986,-79.4862044027,305864.468,4830685.073
2968452,4152933,2017,NA,1973,"PRIVATE",4,"Parkdale-High Park","299 GLENLAKE AVE",30,233,"2022-12-29",81,"Evaluation needs to be conducted in 2 years",19,5,4,5,4,5,5,3,3,4,4,4,4,5,4,5,4,2,4,3,NA,"S0428",43.656888484,-79.465364295,307575.602,4834997.723
2968453,4152903,2017,NA,1940,"PRIVATE",4,"Parkdale-High Park","2555 BLOOR ST W",4,34,"2022-12-29",82,"Evaluation needs to be conducted in 2 years",17,4,4,5,5,3,4,NA,5,NA,4,4,4,5,4,5,3,3,4,4,NA,"S0430",43.6476402456,-79.4906914801,305535.289,4833965.806
2968454,4152911,2017,NA,1960,"PRIVATE",4,"Parkdale-High Park","111 RUNNYMEDE RD",4,16,"2022-12-29",80,"Evaluation needs to be conducted in 2 years",15,4,4,4,4,3,2,NA,4,NA,5,4,4,5,4,4,5,NA,4,NA,NA,"S0430",43.6505719581,-79.4757413114,306741.319,4834291.715
2968455,4153569,2017,NA,1988,"SOCIAL HOUSING",13,"Toronto Centre","223 SHERBOURNE ST",6,60,"2022-12-29",54,"Evaluation needs to be conducted in 1 year",17,2,3,5,1,2,3,2,3,3,NA,1,2,3,3,2,4,NA,4,NA,3,"S1329",43.6582200015,-79.3706451728,315217.87,4835149.078
2968456,4290959,2018,NA,1962,"PRIVATE",3,"Etobicoke-Lakeshore","25 ELIZABETH ST",3,29,"2022-12-29",81,"Evaluation needs to be conducted in 2 years",16,4,4,5,4,4,4,NA,3,NA,4,4,4,5,4,4,4,4,4,NA,NA,"W0336",43.6135850358,-79.4949390042,305192.817,4830182.433
2968457,4153574,2017,NA,1991,"SOCIAL HOUSING",13,"Toronto Centre","330 DUNDAS ST E",4,29,"2022-12-29",60,"Evaluation needs to be conducted in 1 year",15,3,3,5,3,3,3,NA,4,NA,NA,3,3,1,2,2,2,NA,4,NA,4,"S1329",43.6587482686,-79.3702105377,315252.836,4835207.824
2968458,4281915,2017,NA,1952,"PRIVATE",2,"Etobicoke Centre","6 BEXHILL CRT",4,13,"2022-12-29",84,"Evaluation needs to be conducted in 2 years",15,4,5,5,4,3,2,NA,4,NA,4,4,5,5,4,5,5,NA,4,NA,NA,"W0229",43.662044955,-79.521338721,303063.01,4835567.277
2968459,4281929,2017,NA,1952,"PRIVATE",2,"Etobicoke Centre","7 BEXHILL CRT",4,13,"2022-12-29",83,"Evaluation needs to be conducted in 2 years",15,4,4,5,4,4,2,NA,4,NA,4,4,4,5,4,5,5,NA,4,NA,NA,"W0229",43.661751009,-79.521325389,303064.075,4835534.621
2968460,4156523,2017,NA,1950,"PRIVATE",2,"Etobicoke Centre","4750 DUNDAS ST W",4,14,"2022-12-29",86,"Evaluation needs to be conducted in 3 years",14,5,4,5,4,4,2,NA,4,NA,NA,4,5,5,4,5,5,NA,4,NA,NA,"W0229",43.652601481,-79.525645179,302689.552,4834490.961
2968461,4156289,2017,NA,1950,"PRIVATE",2,"Etobicoke Centre","4752 DUNDAS ST W",4,14,"2022-12-29",86,"Evaluation needs to be conducted in 3 years",14,5,4,5,4,4,2,NA,4,NA,NA,4,5,5,4,5,5,NA,4,NA,NA,"W0229",43.652394933,-79.525845839,302688.053,4834472.61
2968462,4156225,2017,NA,1950,"PRIVATE",2,"Etobicoke Centre","4754 DUNDAS ST W",4,14,"2022-12-29",86,"Evaluation needs to be conducted in 3 years",14,5,4,5,4,4,2,NA,4,NA,NA,4,5,5,4,5,5,NA,4,NA,NA,"W0229",43.652203577,-79.525983776,302683.101,4834465.154
2968463,4155221,2017,NA,1970,"PRIVATE",3,"Etobicoke-Lakeshore","620 EVANS AVE",3,25,"2022-12-29",71,"Evaluation needs to be conducted in 2 years",17,4,2,5,4,3,3,NA,4,NA,4,3,4,5,3,4,4,3,3,2,NA,"W0330",43.610802275,-79.550398922,300715.866,4829875.377
2968464,4155482,2017,NA,1951,"PRIVATE",3,"Etobicoke-Lakeshore","51 STANLEY AVE",3,12,"2022-12-29",86,"Evaluation needs to be conducted in 3 years",16,4,4,5,5,3,5,NA,5,NA,4,5,5,3,4,4,4,NA,5,4,NA,"W0336",43.6160393846,-79.4896739143,305617.776,4830455.127
2968465,4155410,2017,NA,1962,"PRIVATE",2,"Etobicoke Centre","416 THE WESTWAY",9,103,"2022-12-29",69,"Evaluation needs to be conducted in 2 years",18,3,3,4,3,4,4,NA,2,4,5,2,4,5,3,4,3,3,3,3,NA,"W0221",43.6840527547,-79.565694704,299487.999,4838013.037
2968466,4152898,2020,NA,1958,"PRIVATE",4,"Parkdale-High Park","93 COE HILL DR",4,33,"2022-12-29",80,"Evaluation needs to be conducted in 2 years",18,3,4,5,3,3,4,NA,4,4,5,4,4,5,4,4,4,4,4,4,NA,"S0430",43.6414422476,-79.4724449481,307007.546,4833277.515
2968467,4152901,2017,NA,1957,"PRIVATE",4,"Parkdale-High Park","9 MORNINGSIDE AVE",4,36,"2022-12-29",75,"Evaluation needs to be conducted in 2 years",15,3,4,4,3,4,2,NA,4,4,NA,3,4,5,4,4,4,NA,4,NA,NA,"S0430",43.645605233,-79.473469677,306924.468,4833740.943
2968468,4820405,2022,NA,1950,"PRIVATE",3,"Etobicoke-Lakeshore","2513 LAKE SHORE BLVD W",3,11,"2022-12-29",81,"Evaluation needs to be conducted in 2 years",15,4,4,4,4,3,4,NA,4,NA,4,4,5,5,4,4,4,NA,4,NA,NA,"W0336",43.6117781476,-79.4895548881,305627.437,4829981.725
2968469,4155305,2017,NA,1979,"TCHC",3,"Etobicoke-Lakeshore","41 MABELLE AVE",19,350,"2022-12-29",91,"Evaluation needs to be conducted in 3 years",19,5,5,5,4,5,5,4,4,5,NA,4,5,5,4,5,5,4,4,3,5,"W0321",43.6448379761,-79.5277127601,302548.527,4833654.887
2968470,4155302,2017,NA,1974,"PRIVATE",3,"Etobicoke-Lakeshore","52 MABELLE AVE",22,310,"2022-12-29",77,"Evaluation needs to be conducted in 2 years",19,5,4,5,5,4,4,3,3,4,4,3,4,5,4,3,4,4,3,2,NA,"W0321",43.6464029439,-79.5294506955,302408.377,4833828.787
2968471,4155375,2017,NA,1965,"PRIVATE",2,"Etobicoke Centre","287 MARKLAND DR",10,118,"2022-12-29",80,"Evaluation needs to be conducted in 2 years",19,3,4,5,4,4,4,3,4,4,5,3,4,5,4,4,3,5,4,4,NA,"W0233",43.6275335945,-79.5780494311,298485.949,4831734.901
2968472,4152905,2017,NA,1993,"SOCIAL HOUSING",4,"Parkdale-High Park","93 LAVINIA AVE",5,68,"2022-12-29",91,"Evaluation needs to be conducted in 3 years",19,5,5,5,5,4,5,5,4,4,NA,4,5,5,4,5,4,4,4,4,5,"S0430",43.6473083382,-79.4777129608,306582.355,4833929.1
2968473,4155228,2018,NA,1962,"PRIVATE",3,"Etobicoke-Lakeshore","9 KINSDALE BLVD",4,23,"2022-12-29",86,"Evaluation needs to be conducted in 3 years",16,4,4,5,5,5,4,NA,4,NA,4,4,5,5,3,4,5,NA,4,4,NA,"W0329",43.6352649375,-79.4919665857,305432.484,4832590.959
2968474,4152941,2017,NA,1958,"PRIVATE",4,"Parkdale-High Park","205 KEELE ST",4,42,"2022-12-29",71,"Evaluation needs to be conducted in 2 years",15,5,4,5,3,3,2,NA,3,NA,NA,4,4,5,3,3,3,NA,3,3,NA,"S0429",43.6597146756,-79.4617878892,307866.434,4835307.806
2968475,4155256,2017,NA,1962,"PRIVATE",3,"Etobicoke-Lakeshore","3 HILL HEIGHTS RD",4,38,"2022-12-29",74,"Evaluation needs to be conducted in 2 years",17,3,4,5,3,3,4,NA,4,NA,2,3,4,5,3,4,4,5,4,3,NA,"W0327",43.6382045659,-79.4931680835,305335.532,4832917.528
2968476,4155237,2017,NA,1958,"PRIVATE",3,"Etobicoke-Lakeshore","8 NEWHOLM RD",4,26,"2022-12-29",76,"Evaluation needs to be conducted in 2 years",17,4,4,3,3,3,3,NA,3,NA,3,4,5,5,3,5,5,5,3,4,NA,"W0329",43.6354822227,-79.4882224103,305734.649,4832615.13
2968477,4155226,2017,NA,1947,"PRIVATE",3,"Etobicoke-Lakeshore","285 PARK LAWN RD",4,29,"2022-12-29",73,"Evaluation needs to be conducted in 2 years",17,3,4,4,3,4,3,NA,3,NA,3,3,5,5,4,3,3,5,3,4,NA,"W0329",43.6345619465,-79.4922664925,305408.295,4832512.859
2968478,4155210,2017,NA,1949,"PRIVATE",3,"Etobicoke-Lakeshore","2688 BLOOR ST W",4,21,"2022-12-29",83,"Evaluation needs to be conducted in 2 years",15,4,4,5,4,4,3,NA,4,NA,NA,4,5,5,4,4,5,NA,3,4,NA,"W0322",43.6503142619,-79.4971169059,305016.898,4834262.829
2968479,4155211,2017,NA,1949,"PRIVATE",3,"Etobicoke-Lakeshore","2690 BLOOR ST W",4,18,"2022-12-29",81,"Evaluation needs to be conducted in 2 years",16,4,4,5,4,4,3,NA,4,NA,4,4,5,5,4,4,4,NA,3,4,NA,"W0322",43.6503326449,-79.4973659893,304996.803,4834264.87
2968480,4155212,2017,NA,1949,"PRIVATE",3,"Etobicoke-Lakeshore","2692-2694 BLOOR ST W",4,40,"2022-12-29",79,"Evaluation needs to be conducted in 2 years",15,4,4,5,4,3,3,NA,4,NA,NA,4,5,5,4,4,4,NA,3,3,NA,"W0322",43.6502825734,-79.4978680746,304956.297,4834259.305
2968481,4155515,2017,NA,1955,"PRIVATE",3,"Etobicoke-Lakeshore","24 SECOND ST",4,23,"2022-12-29",83,"Evaluation needs to be conducted in 2 years",15,4,4,5,3,4,3,NA,4,NA,NA,4,4,5,5,4,5,NA,4,4,NA,"W0335",43.6009687445,-79.499480988,304826.234,4828780.81
2968482,4155484,2017,NA,1950,"PRIVATE",3,"Etobicoke-Lakeshore","16 ALBERT AVE",3,18,"2022-12-28",80,"Evaluation needs to be conducted in 2 years",15,4,3,5,4,3,4,NA,4,NA,NA,5,4,4,5,3,3,NA,5,4,NA,"W0336",43.6159770796,-79.4891131322,305663.04,4830448.21
2968483,4155058,2017,NA,1960,"PRIVATE",8,"Eglinton-Lawrence","1090 ROSELAWN AVE",5,62,"2022-12-28",76,"Evaluation needs to be conducted in 2 years",17,4,4,5,4,3,4,NA,3,4,NA,3,4,4,4,4,4,4,4,3,NA,"N0831",43.7009028087,-79.449149194,308883.057,4839884.115
2968484,4155278,2017,NA,1950,"PRIVATE",3,"Etobicoke-Lakeshore","158 BERRY RD",4,30,"2022-12-28",74,"Evaluation needs to be conducted in 2 years",17,4,4,5,3,3,2,NA,4,NA,3,3,4,5,3,4,5,3,4,4,NA,"W0327",43.6372671432,-79.489657597,305618.818,4832813.412
2968485,4155309,2017,NA,1959,"PRIVATE",3,"Etobicoke-Lakeshore","22 BURNHAMTHORPE RD",5,42,"2022-12-28",73,"Evaluation needs to be conducted in 2 years",18,3,3,5,3,4,4,NA,3,4,4,2,4,5,3,4,3,4,3,5,NA,"W0321",43.648227444,-79.530348478,302335.758,4834032.463
2968486,4155308,2017,NA,1959,"PRIVATE",3,"Etobicoke-Lakeshore","24 BURNHAMTHORPE RD",5,42,"2022-12-28",69,"Evaluation needs to be conducted in 2 years",18,4,3,5,3,3,4,NA,4,4,3,2,4,3,3,3,3,4,3,4,NA,"W0321",43.648421735,-79.530760922,302302.494,4834054.061
2968487,4285401,2018,NA,1952,"PRIVATE",20,"Scarborough Southwest","6 FOLCROFT AVE",3,13,"2022-12-28",75,"Evaluation needs to be conducted in 2 years",16,3,4,4,3,3,4,NA,4,NA,3,4,4,5,3,4,3,NA,5,4,NA,"E2035",43.700957687,-79.251492552,324829.314,4839934.355
2968488,4155288,2017,NA,1960,"PRIVATE",3,"Etobicoke-Lakeshore","186 STEPHEN DR",5,48,"2022-12-28",82,"Evaluation needs to be conducted in 2 years",18,3,5,5,3,5,4,NA,3,5,4,3,4,5,5,4,4,5,3,4,NA,"W0327",43.640530203,-79.488846855,305685.065,4833173.273
